Code,Location,Registred voters,Envelopes,Valid cotes
529303,Benešov,13 104,8 485,8 437
532568,Bernartice,191,148,148
530743,Bílkovice,170,121,118
532380,Blažejovice,96,80,77
532096,Borovnice,73,54,53
532924,Bukovany,598,393,393
529451,Bystřice,3 490,2 206,2 200
532690,Ctiboř,106,83,83
529478,Čakov,93,71,71
529486,Čechtice,1 140,750,744
529516,Čerčany,2 195,1 453,1 443
529532,Červený Újezd,258,187,187
529541,Český Šternberk,129,82,82
529567,Čtyřkoly,539,403,400
532746,Děkanovice,49,40,40
529621,Divišov,1 305,830,816
529648,Dolní Kralovice,727,445,445
532151,Drahňovice,70,58,57
532843,Dunice,55,38,38
529702,Heřmaničky,571,375,374
532932,Hradiště,24,19,19
529737,Hulice,237,173,173
529745,Hvězdonice,257,189,189
532886,Chářovice,145,114,112
532878,Chleby,46,33,32
532045,Chlístov,278,177,176
529770,Chlum,112,87,87
529788,Chmelná,112,95,95
529796,Chocerady,991,664,659
532606,Choratice,58,34,34
529818,Chotýšany,434,294,292
532037,Chrášťany,187,123,123
529842,Jankov,748,430,429
529851,Javorník,104,79,79
532134,Ješetice,106,68,67
531031,Kamberk,121,82,81
529907,Keblov,155,99,99
533084,Kladruby,245,183,182
529931,Kondrac,383,272,267
529940,Kozmice,241,171,170
529958,Krhanice,765,505,502
529974,Krňany,361,242,241
529991,Křečovice,632,451,448
530000,Křivsoudov,351,222,222
530026,Kuňovice,66,61,61
530051,Lešany,567,371,370
530069,Libež,156,107,107
532258,Litichovice,54,39,39
530093,Loket,456,351,350
530107,Louňovice pod Blaníkem,563,369,365
532193,Lštění,331,225,226
530115,Maršovice,602,421,419
530158,Mezno,297,203,201
530166,Miličín,728,449,449
530174,Miřetice,149,102,100
530191,Mnichovice,184,114,114
530204,Mrač,637,431,429
530212,Načeradec,881,512,509
530263,Nespeky,545,390,388
530298,Netvořice,899,575,573
530301,Neustupov,423,264,263
530310,Neveklov,2 080,1 238,1 218
530344,Olbramovice,991,664,660
599395,Ostrov,52,32,30
530352,Ostředek,292,206,205
533076,Pavlovice,168,121,119
530409,Petroupim,243,161,161
532649,Popovice,233,157,155
530441,Poříčí nad Sázavou,987,671,669
530450,Postupice,1 030,662,653
530476,Pravonín,447,290,289
530492,Přestavlky u Čerčan,296,222,221
530514,Psáře,113,69,69
538680,Pyšely,1 399,1 014,1 008
530522,Rabyně,235,168,168
530531,Radošovice,296,184,183
530549,Rataje,140,104,104
532550,Ratměřice,238,156,155
538710,Řehenice,366,252,252
532941,Řimovice,180,108,108
534382,Sázava,3 090,1 881,1 867
532231,Slověnice,31,22,22
530611,Smilkov,231,146,144
532436,Snět,89,64,64
530638,Soběhrdy,319,227,225
599387,Soutice,219,146,146
599379,Stranný,82,51,51
599361,Strojetice,103,77,76
530689,Struhařov,670,461,459
530701,Střezimíř,263,174,174
530719,Studený,82,54,54
532509,Šetějovice,48,38,38
530751,Tehov,249,165,165
530760,Teplýšovice,383,289,288
530778,Tichonice,179,137,137
532592,Tisem,184,128,128
532541,Tomice,105,75,75
530816,Trhový Štěpánov,1 029,643,634
532304,Třebešice,82,68,68
530841,Týnec nad Sázavou,4 550,2 943,2 922
532061,Václavice,455,290,289
530867,Veliš,270,189,189
530883,Vlašim,9 453,5 687,5 644
532614,Vodslivy,84,43,43
530891,Vojkov,427,250,249
530905,Votice,3 676,2 230,2 219
530913,Vracovice,326,201,199
530921,Vranov,332,244,244
530948,Vrchotovy Janovice,785,492,488
532266,Všechlapy,84,65,64
513482,Vysoký Újezd,163,113,113
571415,Xaverov,49,36,36
531022,Zdislavice,462,320,318
531049,Zvěstov,303,178,178
